name,rating,review_count,price,categories,city,state,zip_code,latitude,longitude,address,url
5ive Spice,4.5,500,$$,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",New York,NY,10012,40.722598,-73.996272,"227 Mulberry St New York, NY 10012",https://www.yelp.com/biz/5ive-spice-new-york-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
1803,4.0,618,$$,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}]",New York,NY,10007,40.715498,-74.007178,"82 Reade St New York, NY 10007",https://www.yelp.com/biz/1803-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
CHILI,5.0,197,$$,"[{'alias': 'szechuan', 'title': 'Szechuan'}, {'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",New York,NY,10016,40.75002,-73.98215,"13 E 37th St New York, NY 10016",https://www.yelp.com/biz/chili-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
The Four Horsemen,4.5,235,$$,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}]",Brooklyn,NY,11211,40.71305,-73.95732,"295 Grand St Brooklyn, NY 11211",https://www.yelp.com/biz/the-four-horsemen-brooklyn?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Malibu Farm New York,4.0,230,$$,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'beer_and_wine', 'title': 'Beer, Wine & Spirits'}]",New York,NY,10038,40.70576507922938,-74.00150902534304,"89 South St Pier 17 New York, NY 10038",https://www.yelp.com/biz/malibu-farm-new-york-new-york-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Momofuku Ssam Bar,4.0,60,$$$,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'steak', 'title': 'Steakhouses'}]",New York,NY,10038,40.705476024827576,-74.0016428,"89 South St Pier 17 New York, NY 10038",https://www.yelp.com/biz/momofuku-ssam-bar-new-york-6?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Piccola Cucina Osteria,4.5,627,$$,"[{'alias': 'italian', 'title': 'Italian'}]",New York City,NY,10012,40.72506,-74.00322,"196 Spring St New York City, NY 10012",https://www.yelp.com/biz/piccola-cucina-osteria-new-york-city?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Thai Villa,4.5,4020,$$,"[{'alias': 'thai', 'title': 'Thai'}]",New York,NY,10003,40.73902,-73.99065,"5 E 19th St G Floor New York, NY 10003",https://www.yelp.com/biz/thai-villa-new-york-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Noodle Village,4.0,1251,$$,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]",New York,NY,10013,40.714167,-73.998803,"13 Mott St New York, NY 10013",https://www.yelp.com/biz/noodle-village-new-york-7?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Time Out Market New York,3.5,327,$$,"[{'alias': 'food_court', 'title': 'Food Court'}]",Brooklyn,NY,11201,40.70342863348067,-73.99214637055226,"55 Water St Brooklyn, NY 11201",https://www.yelp.com/biz/time-out-market-new-york-brooklyn?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
3 Times,4.5,175,$$,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'shanghainese', 'title': 'Shanghainese'}, {'alias': 'noodles', 'title': 'Noodles'}]",New York,NY,10002,40.718271,-73.985209,"90 Clinton St New York, NY 10002",https://www.yelp.com/biz/3-times-new-york-5?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
The Osprey,4.0,248,$$,"[{'alias': 'newamerican', 'title': 'American (New)'}]",Brooklyn,NY,11201,40.702241,-73.995539,"60 Furman St Brooklyn, NY 11201",https://www.yelp.com/biz/the-osprey-brooklyn?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Al Badawi,5.0,30,$$,"[{'alias': 'mideastern', 'title': 'Middle Eastern'}]",Brooklyn,NY,11201,40.69059,-73.99503,"151 Atlantic Ave Brooklyn, NY 11201",https://www.yelp.com/biz/al-badawi-brooklyn-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Raku,4.5,616,$$,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}]",New York,NY,10012,40.72728,-74.00252,"48 Macdougal St New York, NY 10012",https://www.yelp.com/biz/raku-new-york-6?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Juliana's,4.5,2406,$$,"[{'alias': 'pizza', 'title': 'Pizza'}]",Brooklyn,NY,11201,40.70274718768062,-73.99343490196397,"19 Old Fulton St Brooklyn, NY 11201",https://www.yelp.com/biz/julianas-brooklyn-3?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Pastis,4.0,346,$$$,"[{'alias': 'french', 'title': 'French'}]",New York,NY,10014,40.73928,-74.00695,"52 Gansevoort St New York, NY 10014",https://www.yelp.com/biz/pastis-new-york-3?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Atrium Dumbo,4.0,682,$$,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'french', 'title': 'French'}, {'alias': 'bars', 'title': 'Bars'}]",Brooklyn,NY,11201,40.7033899,-73.9904923,"15 Main St Brooklyn, NY 11201",https://www.yelp.com/biz/atrium-dumbo-brooklyn?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Nyonya,4.0,2208,$$,"[{'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'chinese', 'title': 'Chinese'}]",New York,NY,10013,40.719116974367,-73.9968322948353,"199 Grand St New York, NY 10013",https://www.yelp.com/biz/nyonya-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Fishmarket Restaurant,4.5,586,$$,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'divebars', 'title': 'Dive Bars'}, {'alias': 'malaysian', 'title': 'Malaysian'}]",New York,NY,10038,40.70717,-74.00192,"111 South St New York, NY 10038",https://www.yelp.com/biz/fishmarket-restaurant-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
nonono,4.0,963,$$$,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'izakaya', 'title': 'Izakaya'}, {'alias': 'ramen', 'title': 'Ramen'}]",New York,NY,10016,40.74545,-73.98499,"118 Madison Ave New York, NY 10016",https://www.yelp.com/biz/nonono-new-york-6?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Balthazar,4.0,3300,$$$,"[{'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",New York,NY,10012,40.7226892950401,-73.9982149184027,"80 Spring St New York, NY 10012",https://www.yelp.com/biz/balthazar-new-york-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Excuse My French,4.5,325,$$,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'french', 'title': 'French'}]",New York,NY,10002,40.718437,-73.989807,"96 Orchard St New York, NY 10002",https://www.yelp.com/biz/excuse-my-french-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Izakaya MEW,4.0,2559,$$,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'izakaya', 'title': 'Izakaya'}]",New York,NY,10001,40.750148,-73.9863203465939,"53 W 35th St New York, NY 10001",https://www.yelp.com/biz/izakaya-mew-new-york-3?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Wayla,4.5,471,$$,"[{'alias': 'thai', 'title': 'Thai'}]",New York,NY,10002,40.7183,-73.9926038,"100 Forsyth St Basement New York, NY 10002",https://www.yelp.com/biz/wayla-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Boqueria Soho,4.0,1132,$$,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",New York,NY,10012,40.724912,-74.0021299,"171 Spring St New York, NY 10012",https://www.yelp.com/biz/boqueria-soho-new-york-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
hanon,4.5,242,$$,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'noodles', 'title': 'Noodles'}]",Brooklyn,NY,11211,40.7134488,-73.9513445,"436 Union Ave Brooklyn, NY 11211",https://www.yelp.com/biz/hanon-brooklyn?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
JeJu Noodle Bar,4.5,733,$$,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",New York,NY,10014,40.73304,-74.00734,"679 Greenwich St New York, NY 10014",https://www.yelp.com/biz/jeju-noodle-bar-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Buvette,4.0,1928,$$,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",New York,NY,10014,40.732704,-74.00434640955953,"42 Grove St New York, NY 10014",https://www.yelp.com/biz/buvette-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Fish Cheeks,4.5,965,$$,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]",New York,NY,10012,40.7258,-73.9927,"55 Bond St New York, NY 10012",https://www.yelp.com/biz/fish-cheeks-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Tasty Hand-Pulled Noodles,4.0,1697,$$,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]",New York,NY,10013,40.7142,-73.99787,"1 Doyers St New York, NY 10013",https://www.yelp.com/biz/tasty-hand-pulled-noodles-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Fish Cheeks,4.5,965,$$,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'raw_food', 'title': 'Live/Raw Food'}]",New York,NY,10012,40.7258,-73.9927,"55 Bond St New York, NY 10012",https://www.yelp.com/biz/fish-cheeks-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Pig and Khao,4.0,1744,$$$,"[{'alias': 'filipino', 'title': 'Filipino'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'panasian', 'title': 'Pan Asian'}]",New York,NY,10002,40.71926,-73.98475,"68 Clinton St New York, NY 10002",https://www.yelp.com/biz/pig-and-khao-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Evelina,4.5,255,$$$,"[{'alias': 'italian', 'title': 'Italian'}]",Brooklyn,NY,11205,40.689722,-73.971003,"211 Dekalb Ave Brooklyn, NY 11205",https://www.yelp.com/biz/evelina-brooklyn-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
DOMODOMO - New York,4.5,1336,$$$,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]",New York,NY,10012,40.7280299,-74.00167,"140 W Houston St New York, NY 10012",https://www.yelp.com/biz/domodomo-new-york-new-york-4?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Ichibantei,4.0,247,$$,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'steak', 'title': 'Steakhouses'}]",New York,NY,10009,40.73063,-73.98275,"401 E 13th St New York, NY 10009",https://www.yelp.com/biz/ichibantei-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Paesano of Mulberry Street,4.0,1145,$$,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'seafood', 'title': 'Seafood'}]",New York,NY,10013,40.718554,-73.997447,"136 Mulberry St New York, NY 10013",https://www.yelp.com/biz/paesano-of-mulberry-street-new-york?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Her Name Is Han,4.5,1465,$$,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",New York,NY,10016,40.7462615966797,-73.984733581543,"17 E 31st St New York, NY 10016",https://www.yelp.com/biz/her-name-is-han-new-york-3?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
Otis,5.0,408,$$$,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",Brooklyn,NY,11206,40.706011,-73.932598,"18 Harrison Pl Brooklyn, NY 11206",https://www.yelp.com/biz/otis-brooklyn-2?adjust_creative=g98UKJoNIm4WCojBNMJKvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g98UKJoNIm4WCojBNMJKvA
